"Fish_ID","Drift_ID","Species_Code","Tag_ID","Length_cm","Gear_Type","Station_Number","Angler_ID","Depth_Released_ft","Lat_Released_DD","Lon_Released_DD","Sex","Condtion_0","Condtion_1","Condtion_2","Condtion_3","Condtion_4","Condtion_5","Condtion_6","Condtion_7","Condtion_8","All_Conditions","Retained","Recapture","Trip_comments","GPS_Waypoint","waypoint_link"
"","SPR0910201802","LCD","B05349",84,"FLY",4,"B175",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"eDNA WP","1839",""
"","SPR0910201802","CNY","",28,"BAT",5,"B152",70,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201802","DEA","",21,"FLY",3,"B169",70,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201802","OLV","",32,"FLY",3,"B169",70,"","","",0,0,0,0,1,1,0,0,0,"",0,0,"FH- HEAD ","",""
"","SPR0910201802","CNY","",28,"BAR",2,"B151",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201802","YTL","",23,"FLY",4,"B175",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201803","GPR","",20,"BAR",1,"B011",73,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201803","CNY","",27,"BAT",5,"B152",73,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201803","GPR","",27.5,"BAR",2,"B151",73,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"eDNA WP","1842",""
"","SPR0910201803","GPR","",32,"BAR",2,"B151",73,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","SPR0910201804","BLU","",24,"BAR",1,"B011",108,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","SPR0910201804","YTL","",31.5,"FLY",3,"B169",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",20.5,"FLY",3,"B169",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",30,"BAT",6,"B196",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",26,"BAR",2,"B151",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","BLU","",28,"BAT",6,"B196",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",29.5,"FLY",3,"B169",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",25,"FLY",3,"B169",108,"","","",0,0,0,0,1,0,0,0,0,"",0,0,"FH- EYE","",""
"","SPR0910201804","DEA","",27,"BAR",2,"B151",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"eDNA WP","1845",""
"","SPR0910201804","DEA","",23,"BAR",2,"B151",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",25,"BAR",1,"B011",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",25,"BAT",6,"B196",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",26,"FLY",3,"B169",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","BLU","",33,"BAT",6,"B196",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","BLU","",27,"BAT",5,"B152",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",18,"BAT",5,"B152",108,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",28,"BAR",1,"B011",108,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","B05350",28.5,"FLY",4,"B175",108,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",21,"FLY",3,"B169",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",27,"FLY",3,"B169",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","1846",""
"","SPR0910201804","YTL","B05352",31,"BAT",5,"B152",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","",21,"BAT",6,"B196",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","B05353",38.5,"BAT",6,"B196",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","CNY","",34,"FLY",4,"B175",110,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","",21,"BAR",1,"B011",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","DEA","",20,"FLY",3,"B169",110,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","B05354",31,"FLY",3,"B169",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","",22.5,"BAR",2,"B151",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","",22.5,"BAR",2,"B151",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","CNY","",30,"FLY",4,"B175",110,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201804","YTL","",15,"BAR",1,"B011",110,"","","",0,0,0,0,1,0,0,0,0,"",0,0,"CAUDAL DAMAGE ","1847",""
"","SPR0910201804","YTL","",27,"FLY",4,"B175",110,"","","",0,0,0,0,1,0,0,0,0,"",0,0,"BLOODY GILLS (FH) ","",""
"","SPR0910201804","CNY","",29,"FLY",3,"B169",110,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","SPR0910201804","DEA","",25,"FLY",4,"B175",110,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201804","RSY","",26,"BAR",1,"B011",110,"","","",0,1,0,0,0,1,0,0,0,"",0,0,"","",""
